name,year_of_birth,year_of_death,place_of_birth,gender,other_names,ddd,ddd,last_name,first_name,,
Beeson,1921,2010,United States of America,Male,Beeson Jack ,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Beeson', 1921, 2010, 'United States of America', 'Male', 'Beeson Jack ')",#VALUE!,Beeson,Jack,,"Beeson, Jack"
Beethoven,1770,1827,Germany,Male,Beethoven Ludwig van,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Beethoven', 1770, 1827, 'Germany', 'Male', 'Beethoven Ludwig van')",#VALUE!,Beethoven,Ludwig,van,"Beethoven, Ludwig van"
Beimel,1967,,Germany,Male,Beimel,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Beimel', 1967, 'Germany', 'Male', 'Beimel')",#VALUE!,Beimel,,,"Beimel, "
Bell,1980,,United Kingdom,Male,Bell W,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Bell', 1980, 'United Kingdom', 'Male', 'Bell W')",#VALUE!,Bell,W,,"Bell, W"
Bellini,1801,1835,Italy,Male,Bellini Vincenzo ,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Bellini', 1801, 1835, 'Italy', 'Male', 'Bellini Vincenzo ')",#VALUE!,Bellini,Vincenzo,,"Bellini, Vincenzo"
Bellisario,1932,,Italy,Male,Bellisario,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Bellisario', 1932, 'Italy', 'Male', 'Bellisario')",#VALUE!,Bellisario,,,"Bellisario, "
Benatzky,1884,1957,Austria,Male,Benatzky Ralph ,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Benatzky', 1884, 1957, 'Austria', 'Male', 'Benatzky Ralph ')",#VALUE!,Benatzky,Ralph,,"Benatzky, Ralph"
Benda,1722,1795,Czech Republic,Male,Benda Friedrich ,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Benda', 1722, 1795, 'Czech Republic', 'Male', 'Benda Friedrich ')",#VALUE!,Benda,Friedrich,,"Benda, Friedrich"
Benders,1986,,Netherlands,Male,Benders,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Benders', 1986, 'Netherlands', 'Male', 'Benders')",#VALUE!,Benders,,,"Benders, "
BenesJara,1897,1949,Czech Republic,Male,BenesJara,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('BenesJara', 1897, 1949, 'Czech Republic', 'Male', 'BenesJara')",#VALUE!,BenesJara,,,"BenesJara, "
BenjaminG,1960,,United Kingdom,Male,BenjaminG,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('BenjaminG', 1960, 'United Kingdom', 'Male', 'BenjaminG')",#VALUE!,BenjaminG,,,"BenjaminG, "
Berg,1885,1935,Austria,Male,Berg Alban ,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Berg', 1885, 1935, 'Austria', 'Male', 'Berg Alban ')",#VALUE!,Berg,Alban,,"Berg, Alban"
BergerJ,1954,,United States of America,Male,BergerJ,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('BergerJ', 1954, 'United States of America', 'Male', 'BergerJ')",#VALUE!,BergerJ,,,"BergerJ, "
Berio,1925,2003,Italy,Male,Berio Luciano,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Berio', 1925, 2003, 'Italy', 'Male', 'Berio Luciano')",#VALUE!,Berio,Luciano,,"Berio, Luciano"
Berkeley,1948,,United Kingdom,Male,Berkeley0,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Berkeley', 1948, 'United Kingdom', 'Male', 'Berkeley0')",#VALUE!,Berkeley0,,,"Berkeley0, "
Berlioz,1803,1869,France,Male,Berlioz Gabriel Pierre,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Berlioz', 1803, 1869, 'France', 'Male', 'Berlioz Gabriel Pierre')",#VALUE!,Berlioz,Gabriel,Pierre,"Berlioz, Gabriel Pierre"
